frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
102,0.189947,0.046115,0.075957,0.302122,11.7457,0.159407,5.951,3,0.202833,3.0000
103,0.164652,0.034513,0.056994,0.299587,10.6559,0.162077,4.815,3,0.193763,3.0000
104,0.205307,0.051478,0.087590,0.297642,10.4696,0.165848,4.963,2,0.264025,3.0000
105,0.193925,0.041902,0.071899,0.299702,9.7224,0.158943,4.026,2,0.233614,3.0000
106,0.218863,0.045487,0.074355,0.302191,7.9102,0.161936,4.532,2,0.242470,3.0000
107,0.137952,0.050499,0.076037,0.300786,6.3967,0.164598,4.917,3,0.176267,3.3231
108,0.129211,0.050203,0.071852,0.296128,5.6773,0.164350,3.254,1,0.129524,3.0000
109,0.307266,0.056701,0.085245,0.292073,5.2517,0.155233,5.458,3,0.284689,3.0000
110,0.160996,0.044975,0.058013,0.292080,4.2811,0.157828,6.448,2,0.216375,3.0000
111,0.184132,0.062916,0.088131,0.294436,4.4557,0.161041,7.723,2,0.196803,2.6355
112,0.170873,0.059618,0.080392,0.294607,4.1347,0.158727,8.251,3,0.173064,3.0000
113,0.167874,0.063083,0.089184,0.292971,3.6553,0.164058,7.168,2,0.181498,1.4397
114,0.163827,0.063247,0.095399,0.290528,5.0203,0.159859,7.988,3,0.159303,2.7213
115,0.193401,0.056918,0.087614,0.287799,4.2344,0.163100,7.412,3,0.200828,3.0000
116,0.181965,0.054700,0.086514,0.285543,4.2582,0.160085,7.694,3,0.182317,2.2946
117,0.176539,0.052942,0.085112,0.282177,4.7145,0.161434,7.602,3,0.176111,2.3742
118,0.218249,0.055077,0.090801,0.281246,4.8877,0.162581,7.167,3,0.223460,0.7894
119,0.187728,0.054866,0.091462,0.278168,6.2232,0.160204,7.482,3,0.188307,2.0131
120,0.211080,0.050150,0.084397,0.275040,5.7593,0.160678,6.703,3,0.219127,1.3967
121,0.192613,0.054495,0.092501,0.271982,6.7111,0.159813,6.796,2,0.192355,1.6184
122,0.220850,0.048462,0.082907,0.269142,6.2101,0.159060,6.138,3,0.217642,2.3658
123,0.210560,0.054651,0.093704,0.267438,6.8188,0.158747,6.307,2,0.204186,0.9151
124,0.218311,0.049992,0.085871,0.265451,6.1841,0.157410,5.840,3,0.206152,1.5748
125,0.334747,0.062547,0.107747,0.264289,5.9459,0.157886,7.310,3,0.194038,2.1080
126,0.287092,0.064894,0.108455,0.263228,5.7293,0.155838,7.774,3,0.194059,2.0511
127,0.291723,0.067542,0.113839,0.263931,6.9382,0.154759,9.819,3,0.191678,2.6361
128,0.254260,0.068604,0.108394,0.269570,8.6209,0.153452,11.366,3,0.239375,3.0000
129,0.237200,0.074285,0.114848,0.280265,9.8215,0.150676,13.491,3,0.193183,3.0000
130,0.220607,0.072931,0.115773,0.290719,9.2973,0.148621,14.625,2,0.175031,3.0000
131,0.194373,0.066234,0.105828,0.300716,8.7141,0.143201,15.780,2,0.173355,1.6798
132,0.208009,0.067164,0.107232,0.311355,9.5418,0.134448,18.820,2,0.198814,3.0000
133,0.245856,0.093685,0.128484,0.320209,7.3360,0.129243,18.104,2,0.242762,2.4262
134,0.227473,0.100212,0.118094,0.329026,4.8206,0.128799,17.370,2,0.260293,3.0000
135,0.255382,0.088214,0.098593,0.334503,3.1820,0.134560,17.732,2,0.240411,2.8979
136,0.234983,0.071754,0.083023,0.335068,1.8767,0.135853,18.878,2,0.239060,3.0000
137,0.300247,0.057037,0.078564,0.327601,1.2208,0.138043,22.050,3,0.307465,3.0000
138,0.273572,0.056983,0.076389,0.313819,2.8485,0.135970,24.811,3,0.282476,2.4442
139,0.222516,0.061559,0.076173,0.306138,2.4901,0.136822,26.138,3,0.248715,3.0000
140,0.302495,0.060063,0.072453,0.299828,3.9386,0.138243,25.181,3,0.288309,2.0786
141,0.207299,0.063367,0.084221,0.291280,7.1411,0.138507,23.261,3,0.238229,3.0000
142,0.164697,0.059393,0.083074,0.283338,8.2074,0.138385,24.515,2,0.220102,3.0000
143,0.209750,0.050933,0.072427,0.284583,8.0811,0.140116,25.674,2,0.212762,3.0000
144,0.275462,0.064841,0.100111,0.283814,8.3591,0.137761,23.852,3,0.278638,3.0000
145,0.199726,0.044840,0.069517,0.282191,9.1287,0.134782,24.107,4,0.196654,3.0000
146,0.153778,0.048526,0.078386,0.279294,9.9539,0.131955,23.627,3,0.162893,3.0000
147,0.212850,0.043696,0.071353,0.276806,8.2649,0.135004,24.396,3,0.223170,3.0000
148,0.161259,0.042967,0.072371,0.277580,8.7199,0.135030,25.175,3,0.160010,1.0352
149,0.179650,0.043272,0.074032,0.278270,9.0120,0.136569,25.318,3,0.183231,3.0000
150,0.194252,0.042986,0.073604,0.278792,8.8400,0.137460,25.363,3,0.196001,3.0000
151,0.183959,0.046812,0.080295,0.279625,9.5677,0.136873,25.103,3,0.185727,3.0000
152,0.193453,0.046304,0.079224,0.279535,9.4694,0.137480,25.297,3,0.194334,3.0000
153,0.177986,0.046654,0.079809,0.279339,9.6120,0.136778,25.116,3,0.177465,3.0000
154,0.188159,0.044276,0.075928,0.278827,9.4507,0.136483,24.925,3,0.186894,3.0000
155,0.179151,0.046700,0.079969,0.278910,9.5742,0.136965,25.292,3,0.178068,3.0000
156,0.182870,0.046578,0.078312,0.278459,9.3803,0.136951,25.238,3,0.177624,3.0000
157,0.178999,0.045525,0.075857,0.277204,9.4034,0.137405,25.551,3,0.168193,2.4841
158,0.180468,0.049427,0.078604,0.275472,9.3988,0.138436,26.108,3,0.160741,2.3431
159,0.218288,0.055545,0.087333,0.275323,9.8121,0.138098,25.660,3,0.175247,1.2144
160,0.173923,0.056025,0.090585,0.277745,9.8056,0.135300,23.485,3,0.141937,3.0000
161,0.160111,0.057925,0.090636,0.277751,9.5138,0.133917,23.201,3,0.143627,3.0000
162,0.165744,0.060632,0.089737,0.279247,9.5499,0.133121,22.278,3,0.169511,3.0000
163,0.272324,0.074266,0.107573,0.283760,10.0888,0.130385,21.889,3,0.287572,3.0959
164,0.285399,0.083533,0.111032,0.287997,10.6352,0.131533,22.572,3,0.286021,3.0000
165,0.229819,0.067750,0.092235,0.291026,10.6270,0.130621,21.601,3,0.228452,3.0000
166,0.137406,0.055004,0.079029,0.286137,9.9410,0.129836,22.309,3,0.137893,1.9236
167,0.171294,0.052572,0.079840,0.281668,9.3344,0.130292,21.723,3,0.151476,3.0000
168,0.318224,0.047919,0.074376,0.276028,6.9459,0.133909,23.951,3,0.075034,3.0000
169,0.196507,0.047789,0.076756,0.273235,4.8324,0.136804,24.398,3,0.188110,3.0000
170,0.138106,0.031442,0.050136,0.263252,6.3811,0.135878,25.736,3,0.162256,3.0000
171,0.157153,0.032509,0.052960,0.255669,4.4613,0.138011,24.998,4,0.163761,3.0000
172,0.106159,0.023160,0.038000,0.248990,5.5608,0.135306,24.027,4,0.152340,3.0000
173,0.138590,0.029595,0.048418,0.240964,3.0383,0.136701,24.856,3,0.266812,3.0000
174,0.091810,0.028634,0.047858,0.236675,2.7168,0.137264,26.079,2,0.116204,3.0000
175,0.139991,0.037598,0.064022,0.233222,1.0965,0.137697,24.311,3,0.149419,3.0000
176,0.068977,0.020338,0.033627,0.228690,1.0483,0.137240,25.017,3,0.083215,3.0000
177,0.075680,0.019552,0.032218,0.225896,2.4597,0.136947,25.647,2,0.078927,2.1883
