frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
116,0.175214,0.065260,0.105087,0.425029,10.9896,0.164327,7.302,3,0.188249,3.0000
117,0.180931,0.049815,0.080472,0.425806,13.6164,0.159625,6.319,3,0.183039,3.0000
118,0.148556,0.048199,0.078477,0.426523,13.7490,0.161583,5.371,2,0.159898,3.0000
119,0.169988,0.050642,0.084124,0.425166,13.7914,0.158398,4.543,3,0.169920,1.4826
120,0.182781,0.052986,0.089041,0.422347,12.9403,0.158080,4.855,2,0.182488,2.2703
121,0.189343,0.052395,0.089010,0.421179,12.5107,0.157405,4.009,2,0.188263,1.7269
122,0.161064,0.055461,0.094615,0.417836,12.7902,0.156813,4.572,2,0.159508,1.2667
123,0.209167,0.051772,0.088963,0.414015,11.9255,0.154941,2.835,3,0.201934,2.0818
124,0.187252,0.056529,0.096861,0.411126,12.5794,0.153352,3.988,2,0.175155,2.7917
125,0.343695,0.059276,0.102125,0.407546,13.7313,0.153584,2.870,2,0.196356,1.6966
126,0.253892,0.067746,0.112976,0.405938,16.8432,0.146308,6.347,3,0.179544,3.0000
127,0.289935,0.071834,0.121661,0.404685,17.3558,0.142404,6.386,3,0.287489,3.0000
128,0.268483,0.073631,0.116930,0.407254,17.4257,0.142919,9.118,2,0.213825,3.0000
129,0.251368,0.081954,0.127692,0.415353,20.0849,0.140675,15.914,2,0.305068,3.0000
130,0.311197,0.079640,0.127711,0.426377,23.8175,0.131277,22.259,3,0.207179,3.0000
131,0.364829,0.079113,0.129360,0.431589,20.4687,0.132901,20.150,2,0.344609,3.0000
132,0.267684,0.057682,0.091778,0.440151,21.1929,0.129669,18.981,3,0.226006,3.0000
133,0.239969,0.088873,0.120604,0.450731,22.3592,0.123584,16.487,2,0.243063,3.0000
134,0.236274,0.104930,0.126049,0.464860,23.0238,0.124394,15.196,3,0.246917,3.0000
135,0.200024,0.081085,0.085989,0.474717,24.4886,0.133127,15.427,1,0.184682,3.0000
136,0.192153,0.059763,0.062187,0.479124,25.7711,0.135227,15.945,1,0.195977,1.7083
137,0.225589,0.045250,0.058175,0.471977,27.1490,0.139922,17.811,1,0.231746,2.6943
138,0.214011,0.066409,0.092626,0.456310,28.8498,0.139232,19.917,2,0.226951,2.7426
139,0.214073,0.067252,0.085369,0.439686,29.7759,0.131584,23.713,3,0.232585,2.3742
140,0.305233,0.069865,0.089611,0.430849,30.2305,0.134766,25.035,4,0.289974,3.0000
141,0.179959,0.057321,0.073098,0.420203,31.2879,0.135497,25.195,4,0.209704,3.0000
142,0.159877,0.063790,0.090473,0.414962,32.6016,0.133965,26.829,4,0.174967,3.0000
143,0.125036,0.040206,0.053322,0.412290,33.6804,0.129856,25.049,4,0.126651,3.0000
144,0.197949,0.043769,0.063966,0.406291,32.9111,0.133030,23.995,4,0.203140,3.0000
145,0.156842,0.026618,0.036672,0.405647,30.6673,0.134260,26.295,3,0.156025,1.3671
146,0.158569,0.035515,0.055904,0.406541,31.0461,0.133564,26.701,4,0.159379,1.0460
147,0.140626,0.026996,0.043233,0.407607,30.8438,0.132696,26.427,4,0.142384,1.3320
148,0.137545,0.025070,0.041156,0.409204,29.8723,0.133245,26.764,4,0.138376,0.7684
149,0.144575,0.026180,0.043892,0.408775,30.1452,0.132749,26.352,4,0.146823,1.1401
150,0.147666,0.023025,0.038327,0.408781,29.8792,0.133909,26.832,3,0.151163,1.1579
151,0.152030,0.024596,0.041400,0.409328,29.8154,0.133761,26.524,4,0.152850,1.1562
152,0.149032,0.023604,0.039640,0.408779,30.1060,0.133990,26.692,3,0.150953,1.7044
153,0.151262,0.022808,0.038328,0.408926,29.7924,0.134226,26.724,3,0.153145,1.4379
154,0.142112,0.024412,0.041154,0.408969,30.2186,0.133907,26.673,3,0.141844,1.3279
155,0.144290,0.022902,0.038373,0.408389,30.1003,0.134230,26.830,3,0.144001,2.0129
156,0.151455,0.024429,0.039637,0.408574,29.7959,0.134435,26.734,3,0.146142,0.9996
157,0.143645,0.024423,0.038954,0.406857,30.1039,0.134793,27.020,3,0.133057,1.3425
158,0.140749,0.029517,0.043812,0.404367,30.2348,0.135368,27.373,3,0.125201,0.9738
159,0.153714,0.036098,0.053262,0.402765,30.7447,0.134737,26.796,3,0.117925,1.1609
160,0.135935,0.037008,0.057315,0.404257,31.7056,0.132555,24.853,3,0.111744,1.6561
161,0.091523,0.038107,0.055894,0.404057,31.6387,0.131170,24.555,3,0.094135,1.2539
162,0.125125,0.034223,0.043549,0.404686,31.6197,0.129844,23.571,3,0.131175,2.2053
163,0.224086,0.059894,0.082551,0.408064,32.0028,0.127855,23.190,3,0.241493,3.1637
164,0.251349,0.073092,0.092536,0.411283,34.0295,0.128668,23.419,3,0.252260,1.4816
165,0.192066,0.061481,0.081327,0.412953,34.9286,0.126828,23.069,3,0.189456,1.9856
166,0.108252,0.045867,0.063242,0.408604,33.8168,0.127793,24.608,3,0.112390,2.6222
167,0.185425,0.057014,0.087555,0.404831,30.9749,0.128089,25.688,3,0.190258,3.0000
168,0.157733,0.051011,0.081012,0.403950,27.7322,0.132151,26.690,4,0.094882,3.0000
169,0.171444,0.044035,0.070760,0.409604,22.7902,0.135998,27.052,4,0.176017,3.0000
170,0.130481,0.027995,0.044461,0.408549,22.3893,0.134090,26.578,4,0.143867,3.0000
171,0.139464,0.040945,0.066519,0.406354,21.5925,0.137564,28.220,4,0.128572,1.8077
172,0.102178,0.036873,0.061814,0.404698,20.7628,0.137093,27.944,3,0.096211,1.0610
173,0.109556,0.031708,0.053587,0.400200,19.3817,0.136570,26.707,4,0.111526,1.2847
174,0.093828,0.029612,0.049935,0.398100,18.4417,0.135304,26.451,4,0.092089,1.3654
175,0.112589,0.030953,0.051683,0.396991,18.2108,0.137072,26.672,4,0.100383,1.4249
176,0.103196,0.028840,0.048735,0.397180,18.7850,0.136179,26.609,4,0.107180,1.3001
177,0.110363,0.028854,0.048642,0.396767,18.5091,0.136371,26.561,4,0.109135,0.6483
