frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
99,0.197891,0.037857,0.060139,0.391007,11.6590,0.160357,3.488,2,0.189605,3.0000
100,0.201988,0.048616,0.078824,0.387717,12.5115,0.159816,4.433,3,0.198944,3.0000
101,0.163846,0.039902,0.064861,0.383768,12.6375,0.161287,4.203,1,0.243175,3.0000
102,0.190283,0.045478,0.075479,0.380241,13.0889,0.155886,5.874,4,0.215556,3.0000
103,0.250887,0.052254,0.086993,0.373317,12.5644,0.156984,7.715,3,0.271065,3.0000
104,0.197462,0.042188,0.071247,0.372544,11.5005,0.166967,5.402,2,0.183919,3.0000
105,0.196286,0.052353,0.090084,0.370166,9.2445,0.166599,3.772,1,0.236617,3.0000
106,0.262159,0.055915,0.092691,0.367333,8.8803,0.156016,4.403,3,0.271591,3.0000
107,0.180937,0.044305,0.065003,0.365232,11.2879,0.156330,3.224,3,0.145527,3.2739
108,0.192373,0.061360,0.091939,0.364951,13.4416,0.160543,0.582,3,0.165391,3.0000
109,0.186426,0.051141,0.075459,0.363487,15.2296,0.167749,0.823,2,0.223646,3.0000
110,0.144378,0.045994,0.059611,0.363112,16.8071,0.167062,1.128,1,0.179619,3.0000
111,0.188650,0.060372,0.084398,0.361124,16.5310,0.159556,3.361,3,0.260716,3.0000
112,0.172400,0.049352,0.062238,0.357633,13.9539,0.151122,5.134,2,0.211370,3.0000
113,0.180645,0.052957,0.071280,0.359944,14.3787,0.151043,6.691,3,0.176922,3.0000
114,0.213830,0.065437,0.097500,0.365405,12.7809,0.162340,3.960,2,0.210026,3.0000
115,0.179608,0.060976,0.094698,0.372701,10.2101,0.167481,3.532,1,0.179435,3.0000
116,0.164038,0.055963,0.088980,0.377751,7.2428,0.157385,3.349,1,0.163731,3.0000
117,0.178462,0.058978,0.095805,0.376633,6.0349,0.152477,4.041,2,0.169459,3.0000
118,0.173551,0.051048,0.083377,0.373688,5.7672,0.155277,1.513,2,0.174008,3.0000
119,0.175933,0.050987,0.084787,0.372177,7.1033,0.155789,3.322,2,0.176372,1.3039
120,0.195141,0.048901,0.082254,0.370033,7.1649,0.156105,3.717,3,0.194952,2.5899
121,0.209729,0.051429,0.087409,0.371449,6.7648,0.157512,4.964,3,0.209216,1.2091
122,0.186088,0.053158,0.090674,0.372436,6.2693,0.157839,5.526,3,0.189606,1.4989
123,0.203055,0.055997,0.096017,0.374555,6.0020,0.158001,6.594,3,0.206463,1.5698
124,0.215260,0.058474,0.100426,0.375521,5.9820,0.157861,7.267,3,0.214543,1.4621
125,0.313804,0.060490,0.104062,0.379495,6.2782,0.159631,7.287,3,0.231430,1.9946
126,0.236095,0.079273,0.132937,0.384942,9.4819,0.157453,9.455,2,0.198934,3.0000
127,0.294834,0.061498,0.103866,0.389368,4.8263,0.159624,6.411,3,0.237065,3.0000
128,0.203689,0.066404,0.104279,0.395460,3.6468,0.155406,6.371,1,0.175429,3.0000
129,0.183148,0.074478,0.114587,0.411135,8.0590,0.145185,12.241,2,0.266811,3.0000
130,0.218465,0.063011,0.098064,0.425300,8.8170,0.141254,15.774,2,0.177062,3.0000
131,0.246697,0.074237,0.119807,0.435738,10.0759,0.139986,19.003,2,0.249000,3.0000
132,0.273530,0.076345,0.124178,0.439865,9.6432,0.131833,21.013,2,0.239997,3.0000
133,0.254804,0.083684,0.112063,0.444503,4.8861,0.130076,17.559,3,0.340588,3.0000
134,0.276184,0.107557,0.131836,0.452627,5.6286,0.127031,15.448,3,0.320556,3.0000
135,0.252246,0.094056,0.108340,0.454854,8.6159,0.131472,15.201,2,0.235937,3.0000
136,0.225693,0.073822,0.086460,0.453667,11.8789,0.134189,15.718,1,0.229700,3.0000
137,0.273984,0.045062,0.057362,0.441483,13.8589,0.138986,17.740,1,0.281733,3.0000
138,0.223167,0.059951,0.081180,0.422363,16.0640,0.138669,20.582,1,0.234869,2.5151
139,0.211333,0.066835,0.084725,0.402531,17.0170,0.131555,24.548,4,0.240919,3.0000
140,0.250893,0.055516,0.064214,0.385731,15.5827,0.135160,23.879,4,0.235189,2.8749
141,0.212011,0.065131,0.086595,0.369862,15.9580,0.135786,22.806,4,0.245145,3.0000
142,0.179423,0.053069,0.072396,0.359464,15.3534,0.134775,25.357,4,0.192577,3.0000
143,0.208153,0.050739,0.072150,0.357700,14.2051,0.135570,25.823,3,0.210360,3.0000
144,0.251361,0.055566,0.083770,0.354869,13.5704,0.133613,23.308,4,0.256465,3.0000
145,0.142389,0.032588,0.047202,0.352454,11.5225,0.134170,25.523,3,0.141713,3.0000
146,0.179707,0.047147,0.075797,0.351515,9.4814,0.134647,26.398,2,0.181295,3.0000
147,0.197796,0.044388,0.073480,0.347582,8.4974,0.133553,24.746,3,0.189743,3.0000
148,0.222165,0.048124,0.080296,0.342506,2.6319,0.138067,26.449,3,0.231041,3.0000
149,0.151270,0.045710,0.077968,0.341649,2.4002,0.137998,28.445,2,0.225447,3.0000
150,0.249785,0.060374,0.103354,0.340119,2.7733,0.140485,25.692,3,0.238768,3.0000
151,0.143893,0.040209,0.068880,0.335623,6.0549,0.136046,24.184,3,0.143819,3.0000
152,0.181117,0.057479,0.098477,0.330475,6.7266,0.134072,24.277,3,0.220846,3.0000
153,0.206625,0.051260,0.087368,0.327391,7.0531,0.139176,25.757,3,0.215738,3.0000
154,0.137741,0.046799,0.080840,0.328933,5.6797,0.139335,26.841,2,0.145328,3.0000
155,0.205008,0.058051,0.099441,0.328307,6.8663,0.136936,24.328,3,0.212571,3.0000
156,0.216456,0.049782,0.082938,0.327215,9.3050,0.140847,26.457,3,0.210800,3.0000
157,0.186630,0.058064,0.097817,0.321692,7.6545,0.139480,26.504,2,0.203951,3.0000
158,0.275232,0.061625,0.100622,0.315147,9.1691,0.138375,24.087,3,0.269381,3.0000
159,0.276711,0.055661,0.087710,0.314026,8.3108,0.136616,25.659,3,0.235769,2.4705
160,0.231811,0.059328,0.096318,0.314567,6.7130,0.136868,24.655,3,0.232507,3.0000
161,0.173187,0.055865,0.087019,0.313295,8.0462,0.133376,20.894,2,0.182531,3.0000
162,0.202715,0.066098,0.099551,0.311578,9.0134,0.131884,20.115,2,0.203392,3.0000
163,0.216872,0.070937,0.102287,0.312433,9.1818,0.131819,21.873,3,0.292885,3.4253
164,0.312056,0.091059,0.122846,0.315820,10.1351,0.128213,20.944,3,0.310621,3.0000
165,0.231157,0.071844,0.099674,0.316638,10.1302,0.131205,20.865,3,0.228007,3.0000
166,0.184069,0.061261,0.088937,0.314387,9.7255,0.130687,21.490,3,0.199537,1.4201
167,0.174662,0.044780,0.066626,0.308693,9.0136,0.133216,23.196,3,0.184812,3.0000
168,0.294271,0.057324,0.091962,0.305105,9.8325,0.135758,23.380,3,0.181092,3.0000
169,0.181114,0.045180,0.072938,0.308181,8.9256,0.136948,23.740,3,0.204540,3.0000
170,0.160285,0.038359,0.061726,0.306852,9.2429,0.142420,25.639,3,0.170180,3.0000
171,0.146843,0.032445,0.053177,0.307024,8.8503,0.143536,27.152,2,0.147819,1.8597
172,0.173408,0.040688,0.067840,0.306086,9.8170,0.139768,24.243,3,0.171540,3.0000
173,0.155164,0.043968,0.074315,0.303151,9.4791,0.138857,24.047,2,0.155676,3.0000
174,0.181939,0.039817,0.067459,0.303463,10.8572,0.139075,24.596,3,0.183640,3.0000
175,0.131618,0.029365,0.049514,0.302647,10.8255,0.138597,23.926,3,0.143457,2.1010
176,0.175209,0.029442,0.049387,0.301245,10.4930,0.136173,24.368,3,0.179872,0.8621
177,0.139541,0.035993,0.060381,0.301100,11.0150,0.140161,25.508,3,0.141896,2.8339
