frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
41,0.053022,0.020512,0.026763,0.424828,14.1853,0.158578,12.826,2,0.000000,3.0000
42,0.054604,0.021553,0.027836,0.425722,15.6515,0.162886,13.678,2,0.000000,3.0000
43,0.042549,0.017632,0.020701,0.431388,16.2236,0.167718,13.914,2,0.000000,3.0000
44,0.025337,0.010484,0.011809,0.439163,16.4282,0.171334,13.972,2,0.000000,0.9178
45,0.012423,0.003861,0.003892,0.440950,16.6504,0.172925,14.234,2,0.000000,1.0535
46,0.023592,0.005801,0.005066,0.439268,16.7749,0.171920,14.331,2,0.000000,1.2150
47,0.039241,0.008372,0.007370,0.438529,16.5942,0.171011,13.942,2,0.000000,1.0420
48,0.037536,0.008184,0.007528,0.437759,15.9557,0.170109,13.189,2,0.000000,0.9121
49,0.024702,0.006123,0.006014,0.435930,14.8457,0.168930,12.031,2,0.000000,1.0105
50,0.017326,0.004377,0.003850,0.433516,13.2176,0.167752,10.267,2,0.000000,1.0017
51,0.017039,0.004916,0.004520,0.430339,11.1765,0.166674,7.864,2,0.000000,1.2753
52,0.049769,0.010827,0.014626,0.429309,9.8537,0.164690,4.290,3,0.000000,2.1110
53,0.040481,0.009973,0.011963,0.431803,11.0093,0.162295,0.996,4,0.000000,1.3089
54,0.048540,0.013599,0.015650,0.432261,12.0642,0.162190,4.228,4,0.000000,0.7465
55,0.044598,0.012227,0.014929,0.428255,12.2555,0.163186,7.747,4,0.000000,1.8674
56,0.061248,0.015999,0.020966,0.425137,12.2462,0.166826,10.620,3,0.000000,2.1800
57,0.127009,0.030236,0.038306,0.424038,11.7779,0.172868,12.801,3,0.000000,2.5687
58,0.134564,0.035339,0.039202,0.424657,11.3100,0.179867,14.370,3,0.000000,1.8157
59,0.155406,0.027841,0.023949,0.425334,11.0985,0.184443,15.200,2,0.000000,0.9570
60,0.132436,0.020212,0.014567,0.424345,11.2111,0.186832,15.550,2,0.000000,1.1270
61,0.095430,0.014221,0.009800,0.423402,11.2613,0.188015,15.418,2,0.000000,1.5591
62,0.063070,0.009656,0.006674,0.423833,11.1279,0.188734,14.852,3,0.000000,1.5166
63,0.040100,0.007371,0.006020,0.425147,10.8028,0.188912,13.859,3,0.000000,1.3860
64,0.029758,0.006080,0.005825,0.426948,10.4882,0.188340,12.388,3,0.000000,1.3846
