frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
117,0.286712,0.059151,0.096802,0.364751,12.8432,0.165534,7.909,3,0.289221,2.3198
118,0.298531,0.057475,0.094632,0.364125,12.9423,0.162778,5.942,2,0.299069,3.0000
119,0.347065,0.059129,0.098758,0.363485,14.1392,0.162939,4.637,2,0.348467,2.1501
120,0.369022,0.056686,0.096033,0.361480,15.5061,0.160518,3.791,3,0.369331,2.4617
121,0.381008,0.056906,0.097146,0.358671,16.4601,0.157273,2.859,3,0.380521,2.0617
122,0.395591,0.061442,0.105418,0.356593,17.3890,0.155467,2.946,3,0.393169,1.5721
123,0.369196,0.059977,0.102822,0.354665,18.2333,0.153376,3.595,3,0.362020,1.4237
124,0.337949,0.062369,0.106932,0.351667,19.2354,0.148681,5.565,4,0.324919,1.5609
125,0.460304,0.078820,0.136012,0.347931,20.7890,0.146964,6.169,4,0.323904,2.1488
126,0.497377,0.083904,0.142078,0.347305,20.8735,0.141762,6.017,4,0.401806,1.4882
127,0.416265,0.095291,0.162178,0.347705,20.8384,0.133906,8.597,4,0.293167,1.4038
128,0.357415,0.096051,0.156287,0.347524,20.6092,0.124844,12.134,4,0.339672,3.0000
129,0.359038,0.082267,0.129309,0.350691,19.9827,0.124368,14.526,4,0.340328,3.0000
130,0.472211,0.095477,0.155773,0.353769,18.7372,0.125323,14.697,3,0.452221,3.0000
131,0.393632,0.095589,0.157394,0.355175,16.6309,0.122368,13.122,4,0.306447,3.0000
132,0.441665,0.085247,0.138842,0.357165,15.9533,0.123150,13.229,3,0.403814,3.0000
133,0.384105,0.106663,0.151052,0.362333,14.2986,0.123347,13.778,3,0.343545,3.0000
134,0.374391,0.100566,0.118618,0.367404,14.4799,0.126346,16.082,2,0.339205,3.0000
135,0.397807,0.097005,0.113715,0.371936,13.9361,0.128300,18.369,3,0.381264,3.0000
136,0.379454,0.082954,0.103665,0.379478,14.9507,0.124917,22.218,3,0.382200,3.0000
137,0.170950,0.055621,0.078422,0.380975,17.0841,0.124363,20.141,2,0.180507,3.0000
138,0.167237,0.057343,0.076027,0.375253,17.9106,0.135321,17.912,3,0.351773,3.9006
139,0.185209,0.066676,0.082877,0.373046,16.9539,0.145621,17.736,2,0.293303,3.0000
140,0.224710,0.074478,0.098178,0.368703,17.5682,0.148711,15.554,1,0.230730,3.0000
